Station Address,City,State/Province,Transaction Date,Transaction Start Time,   Charging Time (minutes)   , Energy (kWh) , GHG Savings (kg) , Gasoline Savings (gallons) ,Port Type
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/17/2019,12:04 PM,85,6.82,2.87,0.86,Level 2
"Moreelsepark 2, 3511 EP",Utrecht,Utrecht,1/17/2019,11:31 AM,99,4.15,1.74,0.52,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/17/2019,12:02 PM,60,6.16,2.59,0.77,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/17/2019,10:05 AM,137,13.84,5.81,1.74,Level 2
"Moreelsepark 2, 3511 EP",Utrecht,Utrecht,1/17/2019,10:36 AM,80,6.72,2.82,0.84,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/17/2019,7:59 AM,164,15.41,6.47,1.93,Level 2
"Moreelsepark 2, 3511 EP",Utrecht,Utrecht,1/17/2019,10:33 AM,1,0.07,0.03,0.01,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/17/2019,5:57 AM,204,14.24,5.98,1.79,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/18/2019,6:19 PM,124,7.03,2.95,0.88,Level 2
"Laan van Puntenburg 2, 3511 ER",Utrecht,Utrecht,1/18/2019,12:51 PM,678,40.55,17.03,5.09,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/18/2019,8:09 PM,33,3.26,1.37,0.41,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,1/18/2019,7:31 PM,34,3.36,1.41,0.42,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/18/2019,5:41 PM,132,13.58,5.7,1.7,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/18/2019,5:51 PM,118,11.88,4.99,1.49,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/18/2019,7:19 PM,18,1.55,0.65,0.2,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,1/18/2019,4:10 PM,117,6.4,2.69,0.8,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/18/2019,6:05 PM,34,2.87,1.2,0.36,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/18/2019,1:02 PM,126,6.77,2.84,0.85,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/18/2019,4:29 PM,108,5.5,2.31,0.69,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/18/2019,6:11 PM,   -     , -   , -   , -   ,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/18/2019,5:00 PM,71,7.01,2.94,0.88,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/18/2019,4:56 PM,72,3.46,1.45,0.43,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/18/2019,4:32 PM,50,4.81,2.02,0.6,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/18/2019,12:49 PM,137,12.54,5.27,1.57,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/18/2019,4:12 PM,47,4.95,2.08,0.62,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/18/2019,1:27 PM,200,20.31,8.53,2.55,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/18/2019,1:45 PM,70,3.6,1.51,0.45,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,1/18/2019,1:24 PM,145,2.57,1.08,0.32,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,1/18/2019,1:34 PM,81,9.1,3.82,1.14,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/18/2019,2:12 PM,89,9.15,3.84,1.15,Level 2
"Laan van Puntenburg 2, 3511 ER",Utrecht,Utrecht,1/18/2019,1:56 PM,93,2.5,1.05,0.31,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/18/2019,1:59 PM,43,2.68,1.12,0.34,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,1/18/2019,12:42 PM,12,1.17,0.49,0.15,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/18/2019,12:33 PM,56,4.77,2,0.6,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/18/2019,11:27 AM,110,3.83,1.61,0.48,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/18/2019,10:51 AM,83,9.07,3.81,1.14,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/18/2019,8:42 AM,144,8.46,3.55,1.06,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/18/2019,10:00 AM,38,3.83,1.61,0.48,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/18/2019,8:56 AM,63,6.22,2.61,0.78,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/18/2019,1:08 AM,28,2.83,1.19,0.36,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/19/2019,11:58 PM,27,2.81,1.18,0.35,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/19/2019,7:15 PM,216,22.6,9.49,2.84,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/19/2019,8:54 PM,70,7.19,3.02,0.9,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/19/2019,8:57 PM,67,6.65,2.79,0.83,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/19/2019,6:17 PM,155,14.63,6.14,1.84,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/19/2019,8:42 PM,9,0.48,0.2,0.06,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/19/2019,8:39 PM,3,0.15,0.06,0.02,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/19/2019,5:59 PM,147,14.63,6.15,1.84,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/19/2019,4:47 PM,56,1.95,0.82,0.24,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/19/2019,6:08 PM,72,3.61,1.52,0.45,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,1/19/2019,7:13 PM,50,2.7,1.13,0.34,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/19/2019,7:38 PM,5,0.3,0.12,0.04,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/19/2019,5:29 PM,100,4.19,1.76,0.53,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,1/19/2019,5:27 PM,77,7.68,3.22,0.96,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/19/2019,3:07 PM,74,7.86,3.3,0.99,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/19/2019,4:05 PM,11,0.6,0.25,0.08,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/19/2019,3:31 PM,28,1.65,0.69,0.21,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/19/2019,1:19 PM,158,13.43,5.64,1.69,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/19/2019,2:25 PM,67,6.63,2.79,0.83,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/19/2019,3:19 PM,12,0.65,0.27,0.08,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/19/2019,1:45 PM,98,10.57,4.44,1.33,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/19/2019,1:14 PM,99,9.93,4.17,1.25,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/19/2019,8:34 AM,171,8.44,3.55,1.06,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/19/2019,12:05 PM,53,5.31,2.23,0.67,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/19/2019,12:43 PM,12,1.15,0.48,0.14,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/19/2019,11:27 AM,40,2.06,0.87,0.26,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,1/19/2019,11:24 AM,   -     , -   , -   , -   ,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/19/2019,7:10 AM,176,13.31,5.59,1.67,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/19/2019,10:00 AM,   -     , -   , -   , -   ,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/19/2019,8:30 AM,69,7,2.94,0.88,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/19/2019,2:38 AM,46,4.63,1.94,0.58,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/19/2019,1:01 AM,47,4.68,1.97,0.59,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,1/20/2019,5:46 PM,134,15.75,6.61,1.98,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/20/2019,3:10 PM,39,4.28,1.8,0.54,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/20/2019,2:08 PM,196,10.32,4.33,1.3,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/20/2019,1:22 PM,155,15.6,6.55,1.96,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/20/2019,3:16 PM,26,2.67,1.12,0.34,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/20/2019,2:01 PM,42,2.24,0.94,0.28,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/20/2019,3:08 PM,   -     , -   , -   , -   ,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/20/2019,2:13 PM,41,3.41,1.43,0.43,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/20/2019,2:13 PM,16,0.55,0.23,0.07,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/20/2019,12:53 PM,83,8.25,3.47,1.04,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/20/2019,8:34 AM,332,21.33,8.96,2.68,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/20/2019,11:44 AM,77,1.33,0.56,0.17,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/20/2019,12:50 PM,27,3.04,1.28,0.38,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/20/2019,12:31 PM,36,3.61,1.52,0.45,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,1/20/2019,11:57 AM,58,6.28,2.64,0.79,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/20/2019,10:12 AM,162,9.42,3.95,1.18,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/20/2019,10:36 AM,131,6.49,2.73,0.82,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/20/2019,12:47 PM,   -     , -   , -   , -   ,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/20/2019,12:45 PM,   -     , -   , -   , -   ,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/20/2019,12:18 PM,3,0.28,0.12,0.04,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/20/2019,10:27 AM,105,11.01,4.63,1.38,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,1/20/2019,11:14 AM,57,5.97,2.51,0.75,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/20/2019,10:20 AM,92,5.29,2.22,0.66,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/20/2019,9:00 AM,80,5.94,2.49,0.75,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/20/2019,8:03 AM,98,6.74,2.83,0.85,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/20/2019,2:30 AM,11,1.11,0.47,0.14,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/21/2019,6:35 PM,209,16.77,7.04,2.1,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/21/2019,9:25 PM,21,2.15,0.9,0.27,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/21/2019,7:58 PM,93,9.52,4,1.2,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/21/2019,7:38 PM,112,6.12,2.57,0.77,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/21/2019,8:10 PM,47,2.47,1.04,0.31,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/21/2019,6:48 PM,20,1.86,0.78,0.23,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/21/2019,6:20 PM,61,4.15,1.74,0.52,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/21/2019,6:46 PM,   -     , -   , -   , -   ,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,1/21/2019,5:16 PM,91,5.13,2.16,0.64,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/21/2019,5:25 PM,59,3.2,1.34,0.4,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/21/2019,4:37 PM,48,2.89,1.21,0.36,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/21/2019,4:29 PM,   -     , -   , -   , -   ,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/21/2019,3:27 PM,31,3.06,1.28,0.38,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/21/2019,12:48 PM,62,3.17,1.33,0.4,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,1/21/2019,1:54 PM,76,5.96,2.51,0.75,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/21/2019,12:15 PM,153,12.61,5.3,1.58,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/21/2019,1:30 PM,55,2.47,1.04,0.31,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/21/2019,1:15 PM,37,3.75,1.57,0.47,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/21/2019,5:31 AM,269,18.83,7.91,2.36,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/21/2019,10:37 AM,114,3.38,1.42,0.42,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/21/2019,11:34 AM,45,1.75,0.74,0.22,Level 2
"Moreelsepark 2, 3511 EP",Utrecht,Utrecht,1/21/2019,10:32 AM,   -     , -   , -   , -   ,Level 2
"Moreelsepark 2, 3511 EP",Utrecht,Utrecht,1/21/2019,8:49 AM,103,10.18,4.28,1.28,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/22/2019,1:00 PM,44,2.18,0.91,0.27,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/22/2019,11:17 PM,72,7.45,3.13,0.94,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/22/2019,9:39 PM,18,1.8,0.76,0.23,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/22/2019,8:52 PM,1,0.08,0.03,0.01,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/22/2019,8:21 PM,3,0.25,0.1,0.03,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/22/2019,6:19 PM,66,6.82,2.86,0.86,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/22/2019,6:15 PM,49,5.04,2.12,0.63,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/22/2019,2:24 PM,256,26.09,10.96,3.28,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/22/2019,4:40 PM,48,2.96,1.24,0.37,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/22/2019,3:30 PM,95,8.49,3.57,1.07,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/22/2019,4:10 PM,51,3.06,1.29,0.38,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/22/2019,2:09 PM,146,3.08,1.29,0.39,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/22/2019,3:08 PM,106,7.11,2.98,0.89,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/22/2019,12:55 PM,139,7.22,3.03,0.91,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/22/2019,10:02 AM,113,6.14,2.58,0.77,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/22/2019,1:50 PM,42,2.24,0.94,0.28,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,1/22/2019,11:12 AM,158,18.19,7.64,2.28,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/22/2019,10:22 AM,164,16.64,6.99,2.09,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/22/2019,12:24 PM,   -     , -   , -   , -   ,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,1/22/2019,7:35 AM,282,29.13,12.23,3.66,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/22/2019,5:36 AM,116,4.4,1.85,0.55,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/22/2019,8:32 AM,131,13.29,5.58,1.67,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,1/22/2019,8:47 AM,50,5.76,2.42,0.72,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/22/2019,8:40 AM,44,4.45,1.87,0.56,Level 2
"Laan van Puntenburg 2, 3511 ER",Utrecht,Utrecht,1/23/2019,10:34 AM,707,14.01,5.89,1.76,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/23/2019,1:46 PM,85,4.64,1.95,0.58,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/23/2019,10:24 AM,279,20.7,8.7,2.6,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/23/2019,8:51 PM,69,8.13,3.41,1.02,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/23/2019,6:21 PM,161,8.39,3.52,1.05,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/23/2019,6:30 PM,105,2.23,0.94,0.28,Level 2
"Moreelsepark 2, 3511 EP",Utrecht,Utrecht,1/23/2019,5:30 PM,159,15.69,6.59,1.97,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/23/2019,5:51 PM,84,2.5,1.05,0.31,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/23/2019,4:24 PM,44,1.71,0.72,0.22,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/23/2019,4:23 PM,128,6.36,2.67,0.8,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/23/2019,1:34 PM,321,31.42,13.2,3.94,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/23/2019,6:28 PM,   -     , -   , -   , -   ,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,1/23/2019,5:56 PM,28,3.34,1.4,0.42,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/23/2019,2:56 PM,136,13.77,5.78,1.73,Level 2
"Moreelsepark 2, 3511 EP",Utrecht,Utrecht,1/23/2019,4:47 PM,11,1.13,0.48,0.14,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/23/2019,7:37 AM,261,13.69,5.75,1.72,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/23/2019,2:01 PM,139,13.95,5.86,1.75,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/23/2019,2:54 PM,49,0.92,0.39,0.12,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/23/2019,2:55 PM,48,2.51,1.06,0.32,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/23/2019,12:32 PM,126,6.62,2.78,0.83,Level 2
"Sterrenbos 10, 3511 ES",Utrecht,Utrecht,1/23/2019,1:37 PM,67,3.49,1.47,0.44,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/23/2019,8:20 AM,371,37.71,15.84,4.73,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/23/2019,12:59 PM,47,1.87,0.79,0.24,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,1/23/2019,11:28 AM,134,15.54,6.53,1.95,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/23/2019,11:39 AM,64,3.51,1.48,0.44,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/23/2019,11:20 AM,16,0.97,0.41,0.12,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/23/2019,8:20 AM,148,6.04,2.54,0.76,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/23/2019,5:57 AM,218,13.35,5.61,1.68,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/23/2019,7:59 AM,115,9.91,4.16,1.24,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/23/2019,6:22 AM,40,4.12,1.73,0.52,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/23/2019,6:17 AM,   -     , -   , -   , -   ,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/23/2019,6:03 AM,   -     , -   , -   , -   ,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/23/2019,6:04 AM,   -     , -   , -   , -   ,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/24/2019,9:16 PM,67,6.91,2.9,0.87,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/24/2019,5:13 PM,130,9.51,3.99,1.19,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/24/2019,6:46 PM,8,0.88,0.37,0.11,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/24/2019,6:35 AM,119,6.38,2.68,0.8,Level 2
"Valeriusbaan 12, 3521 AB",Utrecht,Utrecht,1/24/2019,7:34 AM,259,17.01,7.14,2.13,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/24/2019,5:22 PM,  -    , -   , -   , -   ,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/24/2019,1:38 PM,251,14.64,6.15,1.84,Level 2
"Croeselaan 14, 3511 EN",Utrecht,Utrecht,1/24/2019,5:31 PM,27,1.61,0.67,0.2,Level 2
"Westplein 21, 3531 BL",Utrecht,Utrecht,1/24/2019,4:35 PM,69,5.63,2.36,0.71,Level 2
"Daalsesingel 1, 3511 SV",Utrecht,Utrecht,1/24/2019,5:02 PM,37,4.37,1.84,0.55,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/24/2019,3:17 PM,133,13.82,5.8,1.73,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/24/2019,9:03 AM,360,26.22,11.01,3.29,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/24/2019,1:26 PM,196,15.32,6.43,1.92,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/24/2019,7:54 AM,308,16.6,6.97,2.08,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/24/2019,8:32 AM,263,12.05,5.06,1.51,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/24/2019,8:51 AM,278,15.91,6.68,2,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/24/2019,11:32 AM,110,5.48,2.3,0.69,Level 2
"Spoorstraat 22, 3511 EN",Utrecht,Utrecht,1/24/2019,8:09 AM,273,22.65,9.51,2.84,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/24/2019,8:56 AM,171,5.51,2.31,0.69,Level 2
"Rijnkade 3, 3511 LC",Utrecht,Utrecht,1/24/2019,6:11 AM,315,28.59,12.01,3.59,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/24/2019,9:35 AM,115,6.39,2.69,0.8,Level 2
"Valeriusbaan, 3521 AB",Utrecht,Utrecht,1/24/2019,6:34 AM,60,1.35,0.57,0.17,Level 2
"Stationsstraat 22, 3511 EK",Utrecht,Utrecht,1/25/2019,2:27 PM,161,9.4,3.95,1.18,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/25/2019,11:35 PM,39,4.09,1.72,0.51,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/25/2019,7:18 PM,227,16.31,6.85,2.05,Level 2
"Wolfstraat 11, 3513 SW",Utrecht,Utrecht,1/25/2019,3:10 PM,355,30.28,12.72,3.8,Level 2
"Daalsesingel 30, 3511 SV",Utrecht,Utrecht,1/25/2019,6:27 PM,179,16,6.72,2.01,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/25/2019,6:48 PM,135,7.04,2.96,0.88,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/25/2019,7:09 PM,110,10.94,4.6,1.37,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/25/2019,8:53 PM,5,0.57,0.24,0.07,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/25/2019,8:46 PM,3,0.01,0.01,0,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/25/2019,6:30 PM,145,12.97,5.45,1.63,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/25/2019,8:52 PM,   -     , -   , -   , -   ,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/25/2019,8:38 PM,12,1.31,0.55,0.16,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/25/2019,8:36 PM,8,0.44,0.18,0.06,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/25/2019,8:23 PM,3,0.02,0.01,0,Level 2
"Graadt van Roggenweg 302, 3531 AH",Utrecht,Utrecht,1/25/2019,7:53 PM,3,0.01,0,0,Level 2
"Jaarbeursplein 26, 3521 AP",Utrecht,Utrecht,1/25/2019,5:45 PM,157,12.46,5.23,1.56,Level 2
"Abel Tasmanstraat 11, 3531 GR",Utrecht,Utrecht,1/25/2019,5:12 PM,180,9.58,4.02,1.2,Level 2
